Nr	x	y
1	163.53	298.30
2	158.77	294.51
3	173.17	264.06
4	172.22	263.99
5	169.89	257.17
6	148.35	251.26
7	144.93	249.60
8	146.37	241.91
9	146.19	240.73
10	147.03	239.13
11	161.14	239.26
12	132.57	232.00
13	168.85	232.37
14	131.43	229.60
15	132.81	229.39
16	132.50	228.51
17	132.31	228.41
18	145.32	228.77
19	157.27	227.84
20	144.78	227.33
21	134.03	226.35
22	148.68	226.87
23	134.42	225.53
24	135.03	224.51
25	131.69	224.30
26	142.45	223.80
27	134.87	223.20
28	138.12	222.60
29	141.37	221.63
30	135.28	221.12
31	133.28	220.88
32	138.74	220.83
33	137.31	220.74
34	139.67	220.60
35	134.34	219.20
36	138.57	219.16
37	135.94	218.43
38	137.28	218.42
39	141.44	218.20
40	138.56	218.08
41	139.54	217.87
42	138.69	217.53
43	140.00	217.55
44	139.79	217.33
45	138.93	217.10
46	139.03	217.08
47	138.78	216.98
48	143.52	217.14
49	139.14	216.84
50	138.02	216.76
51	139.24	216.72
52	133.00	216.42
53	174.38	217.67
54	131.16	215.13
55	133.67	215.06
56	136.73	213.27
57	135.50	213.07
58	140.96	213.05
59	140.85	211.50
60	131.07	209.26
61	140.75	208.75
62	138.64	208.57
63	141.37	206.92
64	169.51	205.69
65	129.82	202.72
66	133.27	202.56
67	149.68	199.76
68	129.04	195.02
69	131.75	193.69
70	115.59	142.37
71	131.78	187.85
72	130.37	187.39
73	136.41	181.01
74	93.05	178.16
75	128.74	178.85
76	151.35	177.22
77	95.68	173.86
78	125.01	174.23
79	116.87	170.16
80	116.72	168.57
81	124.93	168.79
82	169.85	170.59
83	124.85	149.75
84	112.27	129.30
85	89.57	126.79
86	104.21	120.42
87	108.69	112.63
88	112.90	107.66
89	115.28	101.90
90	129.43	85.99
91	117.86	80.17
92	128.96	78.09
93	106.57	57.50
94	106.98	46.02
