Nr	Population	x	y
1	212003	138.19	216.52
2	161692	134.33	225.36
3	91469	131.31	193.58
4	85928	135.22	220.22
5	81238	141.47	205.74
6	80159	134.95	214.93
7	48975	130.00	187.56
8	45361	143.22	226.84
9	41198	146.07	240.53
10	30126	115.58	143.69
11	20884	174.03	143.59
12	20838	89.00	127.25
13	19839	112.67	107.27
14	16291	116.58	168.83
15	16288	170.16	168.32
16	13724	151.44	200.51
17	13035	106.27	125.79
18	1153	92.50	123.40
19	1153	93.26	178.61
20	530	94.00	171.10
21	979	97.73	192.56
22	773	99.56	121.39
23	308	105.45	109.69
24	1944	105.87	170.40
25	2508	107.11	46.47
26	1013	107.49	57.10
27	321	109.38	133.84
28	3359	113.79	123.64
29	675	113.94	78.74
30	715	115.54	155.60
31	1436	123.22	165.51
32	3373	123.69	168.14
33	579	124.61	106.65
34	447	125.14	171.34
35	672	127.62	166.92
36	371	128.14	90.64
37	4605	128.78	178.27
38	2442	128.81	83.89
39	378	129.14	223.08
40	364	131.08	201.78
41	361	133.84	238.44
42	1344	133.96	237.26
43	975	145.24	234.16
44	320	145.57	249.06
45	311	145.70	247.38
46	733	147.12	219.87
47	512	147.45	191.66
48	3488	147.70	248.03
49	7095	150.47	178.45
50	404	153.07	262.71
51	319	154.17	264.70
52	333	154.17	216.96
53	379	154.30	247.23
54	430	154.54	213.74
55	381	155.91	218.65
56	1032	156.12	183.64
57	1493	158.56	294.16
58	1273	161.00	239.48
59	430	162.67	208.88
60	884	163.19	245.37
61	478	165.11	298.74
62	353	166.93	203.66
63	744	167.08	248.38
64	9845	168.50	255.84
65	398	169.02	184.03
66	559	169.50	257.59
67	419	169.74	168.11
68	3249	169.87	169.62
69	450	170.16	168.32
70	3875	173.46	218.15
71	1245	174.00	259.00
