Antennas			1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94
			163,53	158,77	173,17	172,22	169,89	148,35	144,93	146,37	146,19	147,03	161,14	132,57	168,85	131,43	132,81	132,50	132,31	145,32	157,27	144,78	134,03	148,68	134,42	135,03	131,69	142,45	134,87	138,12	141,37	135,28	133,28	138,74	137,31	139,67	134,34	138,57	135,94	137,28	141,44	138,56	139,54	138,69	140,00	139,79	138,93	139,03	138,78	143,52	139,14	138,02	139,24	133,00	174,38	131,16	133,67	136,73	135,50	140,96	140,85	131,07	140,75	138,64	141,37	169,51	129,82	133,27	149,68	129,04	131,75	115,59	131,78	130,37	136,41	93,05	128,74	151,35	95,68	125,01	116,87	116,72	124,93	169,85	124,85	112,27	89,57	104,21	108,69	112,90	115,28	129,43	117,86	128,96	106,57	106,98
Nr	x [km]	y [km]	298,30	294,51	264,06	263,99	257,17	251,26	249,60	241,91	240,73	239,13	239,26	232,00	232,37	229,60	229,39	228,51	228,41	228,77	227,84	227,33	226,35	226,87	225,53	224,51	224,30	223,80	223,20	222,60	221,63	221,12	220,88	220,83	220,74	220,60	219,20	219,16	218,43	218,42	218,20	218,08	217,87	217,53	217,55	217,33	217,10	217,08	216,98	217,14	216,84	216,76	216,72	216,42	217,67	215,13	215,06	213,27	213,07	213,05	211,50	209,26	208,75	208,57	206,92	205,69	202,72	202,56	199,76	195,02	193,69	142,37	187,85	187,39	181,01	178,16	178,85	177,22	173,86	174,23	170,16	168,57	168,79	170,59	149,75	129,30	126,79	120,42	112,63	107,66	101,90	85,99	80,17	78,09	57,50	46,02
1	163,53	298,30	0,00	6,09	35,57	35,39	41,62	49,43	52,13	58,95	60,13	61,43	59,09	73,17	66,15	75,83	75,46	76,38	76,56	71,88	70,74	73,41	77,77	72,96	78,38	79,11	80,56	77,43	80,39	79,85	79,82	82,19	83,13	81,34	81,88	81,29	84,32	82,99	84,51	84,08	83,10	84,02	83,93	84,51	84,11	84,39	84,85	84,84	85,01	83,59	85,04	85,44	85,13	87,39	81,36	89,25	88,44	89,15	89,73	88,19	89,72	94,78	92,41	93,12	94,03	92,81	101,36	100,41	99,51	108,89	109,34	163,13	114,93	115,77	120,39	139,30	124,42	121,69	141,74	129,91	136,38	137,92	135,14	127,87	153,50	176,60	186,79	187,51	193,61	197,25	202,24	215,03	222,86	222,91	247,45	258,55
2	158,77	294,51	6,09	0,00	33,68	33,35	38,95	44,49	46,99	54,04	55,23	56,61	55,29	67,77	62,95	70,42	70,10	71,04	71,20	67,10	66,69	68,62	72,51	68,38	73,15	73,91	75,25	72,56	75,20	74,81	74,93	77,06	77,92	76,35	76,82	76,34	79,17	78,01	79,43	79,06	78,25	79,06	79,01	79,56	79,21	79,48	79,90	79,91	80,07	78,85	80,11	80,47	80,20	82,23	78,41	84,04	83,32	84,17	84,70	83,38	84,92	89,63	87,63	88,27	89,30	89,47	96,25	95,42	95,18	103,83	104,38	158,14	110,02	110,82	115,68	133,63	119,49	117,52	136,14	124,92	131,22	132,77	130,19	124,41	148,67	171,62	181,43	182,43	188,65	192,39	197,45	210,57	218,20	218,46	242,69	253,83
3	173,17	264,06	35,57	33,68	0,00	0,95	7,63	27,92	31,72	34,77	35,66	36,12	27,56	51,73	31,98	54,12	53,21	54,02	54,23	44,95	39,56	46,42	54,35	44,53	54,64	54,94	57,46	50,64	56,00	54,29	53,03	57,27	58,79	55,26	56,23	54,87	59,33	56,69	58,89	58,05	55,77	57,55	57,13	57,92	57,12	57,43	58,11	58,08	58,30	55,50	58,21	58,93	58,24	62,32	46,41	64,48	62,93	62,50	63,40	60,33	61,70	69,10	64,11	65,36	65,39	58,49	75,11	73,31	68,45	81,94	81,66	134,62	86,72	87,81	90,82	117,47	96,10	89,54	118,91	101,92	109,49	110,92	106,78	93,53	124,10	147,88	160,72	159,33	164,59	167,61	172,18	183,36	192,02	191,15	217,03	227,87
4	172,22	263,99	35,39	33,35	0,95	0,00	7,21	27,05	30,85	34,00	34,91	35,39	27,10	50,94	31,80	53,35	52,45	53,26	53,48	44,32	39,13	45,79	53,62	43,96	53,93	54,24	56,73	50,02	55,31	53,63	52,41	56,59	58,10	54,62	55,58	54,25	58,67	56,06	58,24	57,42	55,18	56,93	56,53	57,30	56,52	56,83	57,51	57,47	57,70	54,94	57,61	58,32	57,64	61,66	46,37	63,82	62,29	61,90	62,79	59,77	61,15	68,48	63,58	64,80	64,88	58,37	74,52	72,74	68,07	81,37	81,12	134,16	86,22	87,30	90,38	116,77	95,61	89,25	118,25	101,42	108,95	110,39	106,30	93,44	123,67	147,43	160,18	158,86	164,16	167,21	171,80	183,07	191,69	190,87	216,68	227,53
5	169,89	257,17	41,62	38,95	7,63	7,21	0,00	22,33	26,08	28,03	28,84	29,12	19,93	45,01	24,82	47,31	46,33	47,11	47,33	37,55	31,93	39,00	47,28	36,98	47,53	47,77	50,40	43,20	48,79	46,95	45,57	49,98	51,55	47,86	48,87	47,44	52,02	49,25	51,51	50,64	48,25	50,10	49,65	50,45	49,63	49,94	50,64	50,60	50,83	47,93	50,72	51,47	50,75	54,97	39,76	57,16	55,54	55,01	55,93	52,76	54,12	61,66	56,52	57,78	57,78	51,49	67,61	65,75	60,86	74,37	74,06	126,99	79,11	80,20	83,20	110,22	88,48	82,07	111,57	94,30	101,90	103,33	99,16	86,59	116,48	140,25	153,14	151,70	156,97	160,00	164,59	175,90	184,49	183,70	209,47	220,33
6	148,35	251,26	49,43	44,49	27,92	27,05	22,33	0,00	3,80	9,56	10,75	12,20	17,53	24,90	27,87	27,48	26,83	27,73	27,92	22,69	25,06	24,19	28,73	24,39	29,26	29,88	31,69	28,08	31,13	30,43	30,44	32,85	33,91	31,90	32,45	31,87	34,99	33,56	35,10	34,65	33,77	34,59	34,53	35,09	34,73	35,00	35,43	35,43	35,59	34,45	35,63	36,01	35,72	38,07	42,49	40,00	39,06	39,72	40,30	38,92	40,46	45,41	43,18	43,78	44,88	50,24	51,96	50,98	51,51	59,46	59,92	113,71	65,54	66,36	71,26	91,67	75,02	74,10	93,62	80,48	87,00	88,53	85,73	83,48	104,19	127,18	137,65	138,08	144,19	147,91	152,97	166,35	173,78	174,25	198,21	209,37
7	144,93	249,60	52,13	46,99	31,72	30,85	26,08	3,80	0,00	7,83	8,96	10,69	19,23	21,51	29,48	24,13	23,57	24,49	24,67	20,84	25,02	22,28	25,68	23,04	26,27	26,98	28,56	25,92	28,25	27,85	28,20	30,08	31,00	29,43	29,85	29,48	32,20	31,10	32,45	32,10	31,60	32,16	32,19	32,68	32,43	32,68	33,05	33,06	33,20	32,49	33,28	33,57	33,38	35,27	43,44	37,12	36,33	37,24	37,74	36,77	38,32	42,66	41,07	41,52	42,83	50,33	49,26	48,47	50,07	56,85	57,45	111,17	63,14	63,90	69,12	88,30	72,58	72,67	90,35	77,96	84,26	85,80	83,25	82,85	101,85	124,65	134,72	135,45	141,69	145,51	150,65	164,35	171,58	172,26	195,90	207,09
8	146,37	241,91	58,95	54,04	34,77	34,00	28,03	9,56	7,83	0,00	1,19	2,86	15,01	16,99	24,42	19,35	18,46	19,29	19,50	13,18	17,80	14,67	19,86	15,22	20,28	20,77	22,93	18,53	21,96	21,00	20,89	23,56	24,77	22,41	23,03	22,34	25,70	24,05	25,69	25,18	24,22	25,08	24,99	25,57	25,18	25,45	25,90	25,90	26,06	24,93	26,10	26,50	26,18	28,79	37,04	30,79	29,70	30,22	30,83	29,36	30,90	36,06	33,64	34,23	35,34	42,99	42,54	41,47	42,28	49,99	50,39	104,19	55,99	56,82	61,71	83,11	65,48	64,88	84,85	70,97	77,58	79,10	76,20	75,09	94,64	117,66	128,37	128,60	134,66	138,36	143,42	156,84	164,23	164,74	188,66	199,81
