				Antennas	j																																																																																												
				1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94
Cities				163,53	158,77	173,17	172,22	169,89	148,35	144,93	146,37	146,19	147,03	161,14	132,57	168,85	131,43	132,81	132,50	132,31	145,32	157,27	144,78	134,03	148,68	134,42	135,03	131,69	142,45	134,87	138,12	141,37	135,28	133,28	138,74	137,31	139,67	134,34	138,57	135,94	137,28	141,44	138,56	139,54	138,69	140,00	139,79	138,93	139,03	138,78	143,52	139,14	138,02	139,24	133,00	174,38	131,16	133,67	136,73	135,50	140,96	140,85	131,07	140,75	138,64	141,37	169,51	129,82	133,27	149,68	129,04	131,75	115,59	131,78	130,37	136,41	93,05	128,74	151,35	95,68	125,01	116,87	116,72	124,93	169,85	124,85	112,27	89,57	104,21	108,69	112,90	115,28	129,43	117,86	128,96	106,57	106,98
Nr i	Population	x [km]	y [km]	298,30	294,51	264,06	263,99	257,17	251,26	249,60	241,91	240,73	239,13	239,26	232,00	232,37	229,60	229,39	228,51	228,41	228,77	227,84	227,33	226,35	226,87	225,53	224,51	224,30	223,80	223,20	222,60	221,63	221,12	220,88	220,83	220,74	220,60	219,20	219,16	218,43	218,42	218,20	218,08	217,87	217,53	217,55	217,33	217,10	217,08	216,98	217,14	216,84	216,76	216,72	216,42	217,67	215,13	215,06	213,27	213,07	213,05	211,50	209,26	208,75	208,57	206,92	205,69	202,72	202,56	199,76	195,02	193,69	142,37	187,85	187,39	181,01	178,16	178,85	177,22	173,86	174,23	170,16	168,57	168,79	170,59	149,75	129,30	126,79	120,42	112,63	107,66	101,90	85,99	80,17	78,09	57,50	46,02
1	212003	138,19	216,52	85,62	80,66	59,02	58,41	51,55	36,19	33,76	26,68	25,50	24,28	32,31	16,47	34,52	14,72	13,94	13,27	13,26	14,18	22,19	12,66	10,67	14,74	9,77	8,58	10,14	8,43	7,46	6,08	6,01	5,44	6,56	4,35	4,31	4,34	4,68	2,66	2,95	2,11	3,66	1,60	1,91	1,12	2,09	1,79	0,94	1,01	0,75	5,37	1,00	0,29	1,07	5,19	36,22	7,16	4,74	3,56	4,38	4,44	5,68	10,17	8,18	7,97	10,11	33,15	16,14	14,80	20,32	23,36	23,72	77,51	29,38	30,17	35,56	59,24	38,84	41,45	60,22	44,29	51,03	52,53	49,54	55,79	68,09	90,99	102,06	101,93	108,00	111,76	116,88	130,82	137,86	138,74	162,14	173,34
2	161692	134,33	225,36	78,57	73,34	54,83	54,11	47,71	29,45	26,46	20,47	19,42	18,73	30,20	6,87	35,22	5,14	4,30	3,64	3,66	11,51	23,07	10,64	1,03	14,43	0,19	1,11	2,85	8,26	2,22	4,69	7,97	4,35	4,60	6,32	5,50	7,16	6,17	7,51	7,12	7,54	10,09	8,43	9,12	8,96	9,65	9,71	9,45	9,52	9,50	12,33	9,79	9,36	9,94	9,04	40,79	10,71	10,33	12,32	12,35	13,98	15,32	16,43	17,81	17,34	19,74	40,31	23,09	22,83	29,85	30,80	31,78	85,08	37,60	38,18	44,40	62,71	46,85	51,06	64,39	51,97	57,90	59,46	57,35	65,28	76,20	98,56	108,26	109,18	115,61	119,63	124,92	139,46	146,12	147,37	170,14	181,42
3	91469	131,31	193,58	109,57	104,60	81,98	81,44	74,38	60,15	57,66	50,63	49,45	48,19	54,57	38,45	53,98	36,03	35,84	34,95	34,84	37,88	42,99	36,34	32,89	37,56	32,11	31,16	30,73	32,21	29,84	29,81	29,80	27,83	27,37	28,26	27,82	28,29	25,80	26,59	25,28	25,56	26,63	25,55	25,65	25,06	25,50	25,22	24,73	24,74	24,56	26,54	24,54	24,13	24,46	22,90	49,36	21,56	21,61	20,43	19,94	21,74	20,31	15,69	17,87	16,69	16,71	40,08	9,26	9,20	19,38	2,69	0,46	53,56	5,75	6,26	13,56	41,25	14,95	25,87	40,72	20,34	27,51	28,95	25,59	44,88	44,30	67,03	78,76	78,01	84,05	87,86	93,06	107,60	114,20	115,51	138,31	149,55
4	85928	135,22	220,22	83,06	77,93	57,98	57,32	50,67	33,70	30,95	24,39	23,26	22,30	32,17	12,07	35,76	10,12	9,48	8,72	8,69	13,24	23,33	11,92	6,24	15,02	5,37	4,29	5,40	8,07	3,00	3,76	6,31	0,90	2,05	3,58	2,15	4,47	1,35	3,51	1,93	2,74	6,54	3,97	4,92	4,39	5,48	5,41	4,85	4,94	4,82	8,86	5,18	4,46	5,34	4,40	39,25	6,50	5,39	7,11	7,16	9,19	10,38	11,72	12,74	12,15	14,65	37,25	18,32	17,77	25,05	25,95	26,76	80,28	32,55	33,19	39,23	59,56	41,88	45,93	60,93	47,11	53,32	54,86	52,45	60,52	71,23	93,77	103,99	104,50	110,82	114,75	119,99	134,35	141,12	142,27	165,22	176,48
5	81238	141,47	205,74	95,16	90,43	66,38	65,87	58,76	46,03	44,00	36,50	35,31	33,85	38,87	27,73	38,19	25,89	25,18	24,47	24,45	23,35	27,16	21,84	21,91	22,33	21,01	19,84	20,98	18,09	18,67	17,19	15,88	16,58	17,21	15,34	15,57	14,96	15,22	13,73	13,84	13,36	12,46	12,67	12,28	12,11	11,90	11,71	11,64	11,60	11,55	11,58	11,34	11,54	11,20	13,63	35,01	13,94	12,15	8,90	9,45	7,33	5,79	10,98	3,09	3,99	1,18	28,04	12,04	8,79	10,15	16,41	15,49	68,45	20,35	21,45	25,25	55,73	29,75	30,18	55,79	35,55	43,26	44,66	40,48	45,18	58,40	81,82	94,48	93,10	98,72	102,15	107,09	120,35	127,77	128,26	152,30	163,40
6	80159	134,95	214,93	88,14	83,07	62,25	61,62	54,82	38,73	36,09	29,30	28,15	27,05	35,75	17,24	38,13	15,09	14,62	13,80	13,74	17,30	25,79	15,83	11,46	18,20	10,62	9,58	9,93	11,62	8,28	8,30	9,28	6,20	6,18	7,02	6,28	7,38	4,31	5,57	3,64	4,21	7,27	4,80	5,46	4,55	5,69	5,40	4,54	4,61	4,35	8,85	4,60	3,58	4,65	2,46	39,53	3,79	1,28	2,43	1,94	6,30	6,83	6,87	8,47	7,36	10,26	35,78	13,24	12,48	21,14	20,76	21,48	75,09	27,26	27,92	33,95	55,75	36,61	41,12	56,82	41,89	48,28	49,81	47,21	56,43	65,95	88,57	99,13	99,38	105,62	109,50	114,72	129,05	135,83	136,97	159,97	171,21
7	48975	130,00	187,56	115,71	110,75	87,84	87,32	80,23	66,29	63,82	56,77	55,58	54,31	60,36	44,52	59,31	42,07	41,92	41,03	40,92	43,97	48,64	42,43	39,00	43,53	38,23	37,29	36,78	38,32	35,98	35,97	35,91	33,98	33,48	34,41	33,98	34,43	31,94	32,74	31,44	31,72	32,71	31,70	31,78	31,20	31,62	31,34	30,87	30,87	30,70	32,53	30,67	30,28	30,59	29,02	53,63	27,60	27,75	26,58	26,10	27,75	26,29	21,73	23,76	22,72	22,45	43,47	15,16	15,35	23,15	7,53	6,38	47,42	1,80	0,40	9,16	38,13	8,80	23,72	36,95	14,23	21,80	23,17	19,44	43,31	38,15	60,89	72,99	71,92	77,90	81,70	86,91	101,57	108,07	109,47	132,15	143,40
